city;lat;lng;country;population
São Paulo;-23.5504;-46.6339;Brazil;22046000
Buenos Aires;-34.5997;-58.3819;Argentina;16157000
Rio de Janeiro;-22.9083;-43.1964;Brazil;12272000
Lima;-12.05;-77.0333;Peru;9848000
Bogotá;4.6126;-74.0705;Colombia;9464000
Santiago;-33.45;-70.6667;Chile;7007000
Belo Horizonte;-19.8917;-43.9478;Brazil;5159000
Santa Cruz;-17.7892;-63.1975;Bolivia;3151676
Brasília;-15.7744;-48.0773;Brazil;3015268
Salvador;-12.9708;-38.5108;Brazil;2921087
La Paz;-16.4942;-68.1475;Bolivia;2867504
Guayaquil;-2.1833;-79.8833;Ecuador;2723665
Medellín;6.2447;-75.5748;Colombia;2529403
Cali;3.44;-76.5197;Colombia;2471474
Fortaleza;-3.7275;-38.5275;Brazil;2452185
Quito;-0.2186;-78.5097;Ecuador;2011388
Caracas;10.5;-66.9333;Venezuela;1943901
Curitiba;-25.4297;-49.2719;Brazil;1879355
Asunción;-25.3;-57.6333;Paraguay;1870000
Barranquilla;10.96;-74.8;Colombia;1798000
Manaus;-3.1;-60.0167;Brazil;1802014
Vitória;-20.324;-40.366;Brazil;1704000
Recife;-8.0539;-34.8808;Brazil;1555039
Maracaibo;10.6333;-71.6333;Venezuela;1551539
Porto Alegre;-30.0328;-51.23;Brazil;1484941
Valencia;10.1667;-68;Venezuela;1484430
Goiânia;-16.6789;-49.2539;Brazil;1393575
Belém;-1.4558;-48.5039;Brazil;1393399
Córdoba;-31.4167;-64.1833;Argentina;1329604
Guarulhos;-23.4667;-46.5333;Brazil;1324781
Montevideo;-34.8667;-56.1667;Uruguay;1319108
Vila Velha;3.2167;-51.2167;Brazil;1209091
Rosario;-32.9575;-60.6394;Argentina;1193605
Campinas;-22.9009;-47.0573;Brazil;1164098
Callao;-12.0611;-77.1333;Peru;1129854
São Luís;-2.53;-44.3028;Brazil;1073893
Barquisimeto;10.0678;-69.3467;Venezuela;1059092
Cartagena;10.4236;-75.5253;Colombia;1036412
Maceió;-9.6658;-35.735;Brazil;1029129
Arequipa;-16.3988;-71.5369;Peru;1008290
Sucre;-19.0431;-65.2592;Bolivia;300000
Joinvile;-26.32;-48.8399;Brazil;988000
Natal;-6.9838;-60.2699;Brazil;980588
Trujillo;-8.1119;-79.0289;Peru;919899
Olinda;-8;-34.85;Brazil;921840
Natal;-5.795;-35.2089;Brazil;877662
Novo Hamburgo;-29.7096;-51.14;Brazil;876990
Campo Grande;-20.4686;-54.6222;Brazil;874210
Barinas;8.6333;-70.2167;Venezuela;873962
Teresina;-5.0949;-42.8042;Brazil;847430
Iguaçu;-22.74;-43.47;Brazil;844583
São Bernardo do Campo;-23.6939;-46.565;Brazil;816925
João Pessoa;-7.0833;-34.8333;Brazil;801718
Ciudad Guayana;8.3596;-62.6517;Venezuela;751331
Cúcuta;7.9075;-72.5047;Colombia;750000
San Cristóbal;7.7682;-72.2322;Venezuela;743924
Jaboatão;-8.1803;-35.0014;Brazil;702621
Santo André;-23.6572;-46.5333;Brazil;710210
Soledad;10.92;-74.77;Colombia;698852
Osasco;-23.5328;-46.7919;Brazil;694844
Aracaju;-10.9111;-37.0717;Brazil;685356
São José dos Campos;-23.1789;-45.8869;Brazil;688597
São José dos Pinhais;-25.57;-49.18;Brazil;665063
Ribeirão Prêto;-21.1783;-47.8067;Brazil;666323
Catia La Mar;10.6;-67.0333;Venezuela;661897
Sorocaba;-23.5019;-47.4578;Brazil;644919
Cochabamba;-17.3935;-66.157;Bolivia;632013
San Miguel de Tucumán;-26.8167;-65.2167;Argentina;605767
Uberlândia;-18.9189;-48.2769;Brazil;604013
Canoas;-29.92;-51.18;Brazil;600000
Mar del Plata;-38;-57.55;Argentina;593337
Cuiabá;-15.5958;-56.0969;Brazil;585367
Bucaramanga;7.1186;-73.1161;Colombia;581130
Pereira;4.8104;-75.68;Colombia;568750
Ciudad Bolívar;8.1167;-63.55;Venezuela;567953
Chiclayo;-6.763;-79.8366;Peru;552508
Maturín;9.7457;-63.1832;Venezuela;542259
Ibagué;4.4378;-75.2006;Colombia;541101
Salta;-24.7883;-65.4106;Argentina;535303
